[2023-06-14 15:49:08,727] Register - Step 01: Navigate to 'Register' page
[2023-06-14 15:49:09,944] Register - Step 02: Enter to Firstname textbox with value is 'Pure'
[2023-06-14 15:49:10,066] Register - Step 03: Enter to Lastname textbox with value is 'Insight'
[2023-06-14 15:49:10,192] Register - Step 04: Enter to Email Address textbox with value is 'pureinsight587@gmail.com'
[2023-06-14 15:49:10,330] Register - Step 05: Enter to Password textbox with value is 'pureinsight'
[2023-06-14 15:49:10,436] Register - Step 06: Enter to Confirm Password textbox with value is 'pureinsight'
[2023-06-14 15:49:10,556] Register - Step 07: Click to Register Button
[2023-06-14 15:49:12,577] Register - Step 08: Verify register success message is displayed
[2023-06-14 15:49:12,638] Register - Step 09: Click to Continue Button
[2023-06-14 15:49:13,599] Login - Step 01: Navigate to 'Login' page
[2023-06-14 15:49:14,483] Login - Step 02: Enter to Email Address textbox with value is 'pureinsight587@gmail.com'
[2023-06-14 15:49:14,611] Login - Step 03: Enter to Password textbox with value is 'pureinsight'
[2023-06-14 15:49:14,731] Login - Step 04: Click to Login Button
[2023-06-14 15:49:15,973] Login - Step 05: Verify 'My Account' link is displayed
[2023-06-14 15:49:16,048] Login - Step 06: Navigate to 'My Account' page
[2023-06-14 15:49:16,454] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-06-14 15:53:14,932] Register - Step 01: Navigate to 'Register' page
[2023-06-14 15:53:15,456] Register - Step 02: Enter to Firstname textbox with value is 'Pure'
[2023-06-14 15:53:15,575] Register - Step 03: Enter to Lastname textbox with value is 'Insight'
[2023-06-14 15:53:15,701] Register - Step 04: Enter to Email Address textbox with value is 'pureinsight1334@gmail.com'
[2023-06-14 15:53:15,825] Register - Step 05: Enter to Password textbox with value is 'pureinsight'
[2023-06-14 15:53:15,943] Register - Step 06: Enter to Confirm Password textbox with value is 'pureinsight'
[2023-06-14 15:53:16,065] Register - Step 07: Click to Register Button
[2023-06-14 15:53:17,570] Register - Step 08: Verify register success message is displayed
[2023-06-14 15:53:17,622]  -------------------------- FAILED -------------------------- 
[2023-06-14 15:53:17,622] Register - Step 09: Click to Continue Button
[2023-06-14 15:53:18,080] Login - Step 01: Navigate to 'Login' page
[2023-06-14 15:53:18,487] Login - Step 02: Enter to Email Address textbox with value is 'pureinsight1334@gmail.com'
[2023-06-14 15:53:18,611] Login - Step 03: Enter to Password textbox with value is 'pureinsight'
[2023-06-14 15:53:18,717] Login - Step 04: Click to Login Button
[2023-06-14 15:53:20,095] Login - Step 05: Verify 'My Account' link is displayed
[2023-06-14 15:53:20,166]  -------------------------- PASSED -------------------------- 
[2023-06-14 15:53:20,166] Login - Step 06: Navigate to 'My Account' page
[2023-06-14 15:53:20,579] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-06-14 15:53:20,645]  -------------------------- FAILED -------------------------- 
[2023-06-14 16:00:17,924] Register - Step 01: Navigate to 'Register' page
[2023-06-14 16:00:19,339] Register - Step 02: Enter to Firstname textbox with value is 'Pure'
[2023-06-14 16:00:19,458] Register - Step 03: Enter to Lastname textbox with value is 'Insight'
[2023-06-14 16:00:19,589] Register - Step 04: Enter to Email Address textbox with value is 'pureinsight6251@gmail.com'
[2023-06-14 16:00:19,722] Register - Step 05: Enter to Password textbox with value is 'pureinsight'
[2023-06-14 16:00:19,843] Register - Step 06: Enter to Confirm Password textbox with value is 'pureinsight'
[2023-06-14 16:00:19,964] Register - Step 07: Click to Register Button
[2023-06-14 16:00:21,868] Register - Step 08: Verify register success message is displayed
[2023-06-14 16:00:21,926]  -------------------------- FAILED -------------------------- 
[2023-06-14 16:00:21,926] Register - Step 09: Click to Continue Button
[2023-06-14 16:00:23,334] Login - Step 01: Navigate to 'Login' page
[2023-06-14 16:00:24,582] Login - Step 02: Enter to Email Address textbox with value is 'pureinsight6251@gmail.com'
[2023-06-14 16:00:24,702] Login - Step 03: Enter to Password textbox with value is 'pureinsight'
[2023-06-14 16:00:24,829] Login - Step 04: Click to Login Button
[2023-06-14 16:00:26,694] Login - Step 05: Verify 'My Account' link is displayed
[2023-06-14 16:00:26,764]  -------------------------- PASSED -------------------------- 
[2023-06-14 16:00:26,764] Login - Step 06: Navigate to 'My Account' page
[2023-06-14 16:00:27,807] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-06-14 16:00:27,874]  -------------------------- FAILED -------------------------- 
[2023-06-15 12:05:35,562] Register - Step 01: Navigate to 'Register' page
[2023-06-15 12:05:36,727] Register - Step 02: Enter to Firstname textbox with value is 'Pure'
[2023-06-15 12:05:36,851] Register - Step 03: Enter to Lastname textbox with value is 'Insight'
[2023-06-15 12:05:36,977] Register - Step 04: Enter to Email Address textbox with value is 'pureinsight4302@gmail.com'
[2023-06-15 12:05:37,098] Register - Step 05: Enter to Password textbox with value is 'pureinsight'
[2023-06-15 12:05:37,201] Register - Step 06: Enter to Confirm Password textbox with value is 'pureinsight'
[2023-06-15 12:05:37,326] Register - Step 07: Click to Register Button
[2023-06-15 12:05:38,104] Register - Step 08: Verify register success message is displayed
[2023-06-15 12:05:38,167]  -------------------------- FAILED -------------------------- 
[2023-06-15 12:05:38,167] Register - Step 09: Click to Continue Button
[2023-06-15 12:05:38,611] Login - Step 01: Navigate to 'Login' page
[2023-06-15 12:05:39,026] Login - Step 02: Enter to Email Address textbox with value is 'pureinsight4302@gmail.com'
[2023-06-15 12:05:39,149] Login - Step 03: Enter to Password textbox with value is 'pureinsight'
[2023-06-15 12:05:39,271] Login - Step 04: Click to Login Button
[2023-06-15 12:05:40,087] Login - Step 05: Verify 'My Account' link is displayed
[2023-06-15 12:05:40,144]  -------------------------- PASSED -------------------------- 
[2023-06-15 12:05:40,144] Login - Step 06: Navigate to 'My Account' page
[2023-06-15 12:05:40,563] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-06-15 12:05:40,624]  -------------------------- FAILED -------------------------- 
[2023-06-15 12:10:47,634] Register - Step 01: Navigate to 'Register' page
[2023-06-15 12:10:48,757] Register - Step 02: Enter to Firstname textbox with value is 'Pure'
[2023-06-15 12:10:48,868] Register - Step 03: Enter to Lastname textbox with value is 'Insight'
[2023-06-15 12:10:48,998] Register - Step 04: Enter to Email Address textbox with value is 'pureinsight690@gmail.com'
[2023-06-15 12:10:49,120] Register - Step 05: Enter to Password textbox with value is 'pureinsight'
[2023-06-15 12:10:49,287] Register - Step 06: Enter to Confirm Password textbox with value is 'pureinsight'
[2023-06-15 12:10:49,431] Register - Step 07: Click to Register Button
[2023-06-15 12:10:50,243] Register - Step 08: Verify register success message is displayed
[2023-06-15 12:10:50,303]  -------------------------- FAILED -------------------------- 
[2023-06-15 12:10:50,303] Register - Step 09: Click to Continue Button
[2023-06-15 12:10:50,799] Login - Step 01: Navigate to 'Login' page
[2023-06-15 12:10:51,212] Login - Step 02: Enter to Email Address textbox with value is 'pureinsight690@gmail.com'
[2023-06-15 12:10:51,332] Login - Step 03: Enter to Password textbox with value is 'pureinsight'
[2023-06-15 12:10:51,457] Login - Step 04: Click to Login Button
[2023-06-15 12:10:52,254] Login - Step 05: Verify 'My Account' link is displayed
[2023-06-15 12:10:52,320]  -------------------------- PASSED -------------------------- 
[2023-06-15 12:10:52,321] Login - Step 06: Navigate to 'My Account' page
[2023-06-15 12:10:52,743] Login - Step 07: Verify 'Customer Info' page is displayed
[2023-06-15 12:10:52,800]  -------------------------- FAILED -------------------------- 
[2023-06-15 12:23:56,867] Register - Step 01: Navigate to 'Register' page
[2023-06-15 12:23:58,200] Register - Step 02: Enter to Firstname textbox with value is 'Pure'
[2023-06-15 12:23:58,340] Register - Step 03: Enter to Lastname textbox with value is 'Insight'
